Output (S),Ia,Ib,Ic,Va,Vb,Vc
0,-170.4721962,9.219613499,161.2525827,599.390044,-7259.130241000001,6659.740208
0,-122.2357545,6.168667358,116.0670871,1122.0,-6914.727017,5788.217479
0,-90.16147364,3.813632243,86.3478414,1551.2808080000002,-6658.045448999999,5106.764641
0,-79.90491555,2.398803491,77.50611206,1718.9970270000001,-6624.588641,4905.591614
0,-63.88525488,0.590667394,63.29458748,1984.966313,-6506.5156640000005,4521.549351
0,-55.95468067,-1.001881742,56.95656241,2127.554847,-6497.649366999999,4370.09452
0,-45.24844608,-2.586980211,47.83542629,2336.325277,-6425.493745,4089.168468
0,-47.84541956,-3.428093604,51.27351316,2380.358442,-6491.35168,4110.993227
0,-43.29425856,-4.511299677,47.80555823,2527.232037,-6463.4675050000005,3936.235468
0,-43.47472218,-5.38823325,48.86295543,2593.060437,-6504.516490999999,3911.4560539999998
0,-37.00645408,-6.567132402,43.57358648,2753.1290710000003,-6461.344835,3708.215775
0,-40.49158839,-7.334342845,47.82593124,2790.489119,-6524.0214049999995,3733.532297
0,-38.48959314,-8.385391735,46.87498487,2908.3656909999995,-6515.186348,3606.820657
0,-40.90712078,-9.331470657,50.23859144,2957.924673,-6566.094557,3608.169884
0,-35.63892688,-10.63916237,46.27808924,3103.0238799999997,-6531.791959,3428.7680790000004
0,-37.60265937,-11.56345398,49.16611335,3156.7594630000003,-6573.506423000001,3416.74696
0,-35.34843592,-12.571981,47.92041691,3270.534091,-6558.006972,3287.4728920000002
0,-38.37192616,-13.30575983,51.67768599,3314.448401,-6600.368522000001,3285.920121
0,-34.69792544,-14.32970099,49.02762642,3438.0142939999996,-6570.812754,3132.798471
0,-36.48556744,-15.13797039,51.62353782,3493.569475,-6599.119923,3105.550448
0,-34.30288648,-16.14289102,50.44577751,3601.5458599999997,-6579.8867199999995,2978.340871
0,-37.32657698,-16.96285341,54.28943039,3647.0168350000004,-6614.087854,2967.071019
0,-34.54062982,-18.07042769,52.61105751,3758.594279,-6588.954272999999,2830.359994
0,-35.83013542,-18.99863156,54.82876698,3819.733115,-6605.555286,2785.822171
0,-33.12226988,-20.04645809,53.16872796,3927.274219,-6577.858936,2650.584706
0,-35.42929618,-20.81764337,56.24693955,3977.9758479999996,-6596.144214,2618.1683660000003
0,-33.28136479,-21.75031473,55.03167952,4077.168282,-6568.895146000001,2491.726875
0,-34.77493967,-22.52843428,57.30337394,4134.468173,-6576.097176,2441.629003
0,-32.37703381,-23.49165052,55.86868432,4233.405495,-6544.919799,2311.514315
0,-34.28412328,-24.29181249,58.57593578,4286.63972,-6551.968984,2265.329264
0,-32.42686946,-25.27699777,57.70386722,4378.526339,-6523.320606,2144.7942669999998
0,-33.72404131,-26.13701299,59.8610543,4436.594437,-6522.142231,2085.547783
0,-31.25525726,-27.14244448,58.39770174,4531.088616999999,-6486.210555,1955.121949
0,-32.42841681,-27.95088526,60.37930207,4588.4930079999995,-6479.37059,1890.8775819999998
0,-30.54210523,-28.85139222,59.39349746,4674.280127,-6444.292085,1770.0119579999998
0,-31.75580424,-29.59916419,61.35496843,4729.503119,-6433.133454,1703.630335
0,-29.67747151,-30.49077403,60.16824554,4814.105406,-6393.897191,1579.791785
0,-30.64377681,-31.26397143,61.90774824,4870.158436,-6377.5792519999995,1507.420827
0,-28.83821211,-32.17067972,61.00889182,4949.742193,-6338.565365,1388.8231719999999
0,-29.78088916,-32.96798909,62.74887825,5004.541399,-6319.038495,1314.497085
0,-27.75483062,-33.88929293,61.64412355,5083.267596,-6275.998068999999,1192.730473
0,-28.26905875,-34.68022828,62.94928703,5139.7700859999995,-6249.45959,1109.689504
0,-26.32073983,-35.54577313,61.86651295,5214.376629,-6203.848255,989.4716259999999
0,-26.95295794,-36.27272315,63.22568108,5267.294978,-6174.139587,906.844609
