Output (S),Ia,Ib,Ic,Va,Vb,Vc
0,-7.222958673,-19.64062709,23.41371798,6391.644864,-4099.43292,-2292.211944
0,-59.28973661,26.18575003,29.88963948,2617.484672,-6415.152733,3797.6680610000003
0,-44.66304549,-5.931726429,52.80165633,4184.986432,-6468.3870130000005,2283.4005700000002
0,-16.68282673,61.33856075,-44.65573402,-6656.432838,3033.460397,3622.972441
1,-155.236458,-689.928297,-57.68616177,-438.698271,3171.1398289999997,-2732.441569
0,-62.85448199,11.41817617,54.22806115,1823.763007,-6443.5007669999995,4619.73776
1,-2.659627609,-701.794087,706.9567708,-3959.4874330000002,-183.214669,4142.702091
0,-67.16836794,42.13694405,21.81213043,1022.3540360000001,-6048.269205,5025.915169
1,-720.3954659,-81.14470197,803.5544447,-415.14801900000003,391.29317699999996,23.854841999999998
0,-61.19514744,16.14906978,45.04607766,340.28407599999997,-5934.748996,5594.464931
1,63.09232516,-43.72450589,49.89846672,4102.957859,-6402.8161119999995,2299.8582420000002
1,84.47365529,-118.0640771,35.72229748,458.672665,-5754.228392,5295.555727
1,694.9651486,99.45944469,44.59835034,421.326521,-4140.403322,3719.0768009999997
0,-8.881327524,58.83080164,-49.94947412,-6646.603084,3753.353549,2893.249535
0,-15.88273937,-20.46746655,38.23566396,6084.186768,-5031.180363,-1053.006405
0,-13.6782115,86.64675274,-71.12217387,-6757.8938020000005,4011.600714,2746.293088
1,867.1270149,-377.2575459,18.82975965,255.382061,-3472.731845,3217.349784
0,3.912296733,68.23815462,-69.8197582,-6295.152698999999,5311.436273,983.7164260000001
1,790.9151885,67.85738463,-20.05586551,-2388.836395,635.7514239999999,1753.08496
1,-853.7178235,597.4879398,-1.934724676,-129.607401,2655.5858559999997,-2525.978455
0,-54.45588578,96.39497904,-45.3084238,-5712.695075999999,-179.851309,5892.546385
0,-37.14090556,1.010239084,32.67170503,5057.321841,-5963.786928,906.4650979999999
0,6.699549203,82.25030629,-92.25721601,-6114.278796999999,5816.0948339999995,298.183963
1,873.3210595,-473.1357188,-25.94828223,204.28721500000003,-2898.898475,2694.61126
1,-578.8486891,212.641243,366.9992503,1385.300499,-55.046783000000005,-1330.253716
0,-4.266992964,-46.37240309,53.40758459,6509.705433,-4219.884504,-2289.8209180000003
0,4.03848066,52.80036287,-56.83884353,-6407.664098,4792.379702,1615.284407
1,544.1878213,-4.874024627,40.24835799,2862.3270829999997,-6336.222683999999,3473.895612
0,50.16947714,-25.18765398,-23.11062567,4186.9799729999995,2424.135527,-6611.1155
0,50.3289672,26.80901772,-75.20487952,-1909.8463230000002,6633.843348,-4723.997025
0,-56.08471567,20.37004868,37.60884307,2738.605111,-6467.2536390000005,3728.648528
1,-775.7258376,753.8834022,21.84030448,7.474753000000001,400.019488,-407.49424100000005
0,37.42667626,-26.03720307,-14.69434601,5344.219892,740.1322720000001,-6084.352164
1,-79.34137489,-721.52876,802.8737932,-430.81962,61.557078,369.26255299999997
1,379.5069782,11.16804267,9.074656594,3310.537868,-6305.576915,2995.039047
0,19.08953113,47.11766706,-63.10669028,-5407.795063,6156.272188,-748.477125
1,-745.0852479,75.19747075,672.0678363,-148.80546999999999,357.38671100000005,-208.581241
1,-722.6846889,-16.10711308,-29.78135104,-1827.85405,5448.115464,-3620.261414
1,617.165317,-856.4298208,239.2622404,-144.675872,-310.945657,455.621529
1,209.3344809,-848.3114977,638.9747534,-350.05940200000003,-91.184203,441.243605
0,-48.26737714,-11.50476045,59.77213759,3142.0536509999997,-6661.520954,3519.467303
1,690.2644415,-826.7551198,-23.66951508,-80.574494,-986.2877199999999,1066.862214
0,-7.766622236,74.12873138,-64.12188964,-6636.942455,4435.528504,2201.413962
